id;title;isbn;price;stock_quantity;image_url
1;rosin;fashion yum whale;14691.85;32506;lumpy
2;institutionalize as opposite;tightly;2824.89;15408;submissive pfft gentle
3;thoughtfully;aboard;14626.21;1121;freight
4;ha own bah;whether probe;28804.95;25145;international request
5;er;although bind testify;8241.7;8593;but
6;till foodstuffs viciously;darling meh;11200.7;11364;hoick circle
7;acidly wire if;which;24303.63;15838;throughout for yum
8;that;till an;17465.44;17687;tribe
9;good spook whose;around hot intermesh;4880.33;12854;psst
10;airman;gad why;24723.97;17319;toward joyfully
